0, 1, 2, 574, 2, 0, 1, 3
1, 0, 1, 50, 0, 0, 0, 10
1, 3, 2, 515, 0, 1, 2, 2
1, 0, 3, 65, 0, 0, 0, 0
1, 2, 2, 625, 2, 1, 1, 1
2, 2, 3, 765, 0, 1, 1, 2
2, 0, 4, 55, 0, 0, 0, 0
2, 0, 4, 7, 0, 0, 0, 0
3, 0, 2, 28, 0, 0, 0, 0
4, 2, 4, 832, 0, 1, 0, 1
5, 0, 3, 28, 0, 0, 0, 0
5, 3, 2, 853, 2, 0, 0, 1
6, 3, 2, 158, 2, 0, 1, 2
6, 1, 2, 1074, 2, 1, 1, 1
8, 1, 4, 78, 1, 1, 1, 2
9, 3, 4, 1017, 2, 0, 1, 1
11, 0, 4, 62, 0, 0, 0, 0
12, 0, 4, 33, 0, 0, 0, 0
14, 2, 2, 759, 2, 1, 0, 0
15, 0, 4, 40, 0, 0, 0, 0
16, 3, 3, 1003, 0, 1, 1, 0
18, 3, 2, 379, 0, 0, 0, 1
22, 2, 3, 457, 0, 0, 1, 0
23, 3, 2, 417, 1, 0, 0, 2
24, 1, 2, 351, 2, 1, 1, 0
